,nama_buku,penulis,detail_produk,harga_lama,harga_diskon
0, Paket C: Harry + Hermione + Ron ,"
				oleh				JK Rowling			","
Soft Cover, Agustus 2025 ",Rp. 417.000				,Rp. 333.600				
1, Koloni ,"
				oleh				Ratih Kumala			","
Soft Cover, Agustus 2025 ",Rp. 109.000				,Rp. 87.200				
2, Pocket Potters: Hermione Granger (Buku Saku Kisah Harry Potter Karya J.K. Rowling ,"
				oleh				J.K. Rowling			","
Soft Cover, Agustus 2025 ",Rp. 139.000				,Rp. 111.200				
3,  Paket B1: Harry + Hermione ,"
				oleh				Jk Rowling Jack Thorne John Tiffany			","
Soft Cover, Agustus 2025 ",,
4, Paket B3: Hermione + Ron ,"
				oleh				Jk Rowling Jack Thorne John Tiffany			","
Hard Cover, Agustus 2025 ",,
5, Circle ,"
				oleh				Iammine			","
Soft Cover, Agustus 2025 ",Rp. 119.000				,Rp. 101.150				
6, Kitab Kawin ,"
				oleh				Laksmi Pamuntjak			","
Soft Cover, Agustus 2025 ",Rp. 89.000				,Rp. 71.200				
7, The Art of Being a Hot and Unbothered Woman ,"
				oleh				Olivia Mai			","
Soft Cover, Agustus 2025 ",Rp. 79.000				,Rp. 67.150				
8, RAIN ,"
				oleh				Tere Liye			","
Soft Cover, Agustus 2025 ",Rp. 109.000				,Rp. 87.200				
9, Brother Jacob & The Lifted Veil ,"
				oleh				George Eliot			","
Soft Cover, Agustus 2025 ",Rp. 50.000				,Rp. 40.000				
10, Quite Love ,"
				oleh				Yoga Arizona			","
Soft Cover, Agustus 2025 ",Rp. 99.000				,Rp. 84.150				
11, The Book Censor's Library ,"
				oleh				Bothayna Al-Essa			","
Soft Cover, Agustus 2025 ",Rp. 105.000				,Rp. 84.000				
12, We Do Not Part ,"
				oleh				Han Kang			","
Soft Cover, Agustus 2025 ",Rp. 110.000				,Rp. 88.000				
13, Kota Seribu Lantai ,"
				oleh				DEWI INTAN			","
Soft Cover, Agustus 2025 ",Rp. 86.000				,Rp. 68.800				
14, Amba ,"
				oleh				Laksmi Pamuntjak			","
Soft Cover, Juli 2025 ",Rp. 189.000				,Rp. 151.200				
15, Pasung Jiwa ,"
				oleh				Okky Madasari			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 79.200				
16, Maryam ,"
				oleh				Okky Madasari			","
Soft Cover, Juli 2025 ",Rp. 89.000				,Rp. 71.200				
17, Entrok ,"
				oleh				Okky Madasari			","
Soft Cover, Juli 2025 ",Rp. 89.000				,Rp. 71.200				
18, The Berlin Apartment ,"
				oleh				PARKISYE			","
Soft Cover, Juli 2025 ",Rp. 110.000				,Rp. 82.500				
19, Laut Bercerita ,"
				oleh				Leila S. Chudori			","
Soft Cover, Juli 2025 ",Rp. 150.000				,Rp. 120.000				
20, A Piece of Sunset ,"
				oleh				YARA			","
Soft Cover, Juli 2025 ",Rp. 98.500				,Rp. 83.725				
21, Sihir Perempuan ,"
				oleh				Intan Paramadhita			","
Hard Cover, Juli 2025 ",Rp. 119.000				,Rp. 95.200				
22," Nak, Hidup Ingin Kau Lebih Kuat ","
				oleh				Mahestha Rastha Andaara @selfnotification			","
Soft Cover, Juli 2025 ",Rp. 78.000				,Rp. 66.300				
23, Teras Cinta di Kampung Sunda ,"
				oleh				Aksa			","
Soft Cover, Juli 2025 ",Rp. 97.000				,Rp. 77.600				
24, KORPUS UTERUS ,"
				oleh				Sasti Gotama			","
Soft Cover, Juli 2025 ",Rp. 89.000				,Rp. 71.200				
25, A Journey to Myself ,"
				oleh				@lorianbackpacker			","
Soft Cover, Juli 2025 ",Rp. 77.000				,Rp. 65.450				
26, Setelah Kita Bertemu ,"
				oleh				Pradnya Paramitha			","
Soft Cover, Juli 2025 ",Rp. 119.000				,Rp. 95.200				
27, Sebuah Lagu Dari Masa Lalu ,"
				oleh				TENDERLOVE			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
28, JALAN PULANG ,"
				oleh				SHINTA PUJI			","
Soft Cover, Juli 2025 ",Rp. 88.000				,Rp. 74.800				
29, Lots Of Memories In September ,"
				oleh				YOURKEYYZ			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
30," Aku Lupa, Aku Manusia ","
				oleh				FEBRIAWAN JAUHARI			","
Soft Cover, Juli 2025 ",Rp. 77.000				,Rp. 65.450				
31, Red String Theory ,"
				oleh				Tessia			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
32, Jeffana ,"
				oleh				SOPHIETHEKID			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
33, BUTTERFLY WITH RADEEYA ,"
				oleh				WINA WIDIANSYAH			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
34, A Billion Of Gesang ,"
				oleh				LAIL. K			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 89.100				
35, When The Rain Meets Hema ,"
				oleh				WULAN NUR AMALIA			","
Soft Cover, Juli 2025 ",Rp. 129.000				,Rp. 116.100				
36, Jendral & Renaya ,"
				oleh				CHARIZMA MELATY			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 89.100				
37, Infinity ,"
				oleh				12 KENTANG			","
Soft Cover, Juli 2025 ",Rp. 115.000				,Rp. 103.500				
38, 7 Sayap Kehidupan (the 7 Wings Of Life) ,"
				oleh				Jienara			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
39, Class 7e The Final Game ,"
				oleh				JENA			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
40," Lara, Luka, Aksara ","
				oleh				NOVENI ADELIA			","
Soft Cover, Juli 2025 ",Rp. 109.000				,Rp. 92.650				
41, PAKET SATUAN - SO TALES OF THE CELESTIAL KINGDOM ND-541 ,,"
Soft Cover, Juli 2025 ",Rp. 109.000				,Rp. 87.200				
42, ARCHIPELAGOS II ,"
				oleh				Sleepinigloo			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 74.250				
43, Archipelagos Wizarding School In Nusantara ,"
				oleh				Sleepinigloo			","
Soft Cover, Juli 2025 ",Rp. 86.000				,Rp. 64.500				
44, Toko Buku Kucing Hitam ,"
				oleh				Piergiorgio Pulixi			","
Soft Cover, Juli 2025 ",Rp. 95.000				,Rp. 76.000				
45, Parnassus Keliling: Toko Buku yang Menghampirimu dan Merekomendasikan Buku yang Tepat ,"
				oleh				Christopher Morley			","
Soft Cover, Juli 2025 ",Rp. 65.000				,Rp. 52.000				
46, Toko Buku Abadi : 33 Kisah Tak Abadi dan 1 Catatan Penulis ,"
				oleh				Yudhi Herwibowo			","
Soft Cover, Juli 2025 ",Rp. 90.000				,Rp. 72.000				
47, Berikan Tanda Silang ,"
				oleh				Triskaidekaman			","
Soft Cover, Juli 2025 ",Rp. 115.000				,Rp. 92.000				
48, Human Acts ,"
				oleh				Han Kang			","
Soft Cover, Juli 2025 ",Rp. 85.000				,Rp. 68.000				
49, The Vegetarian ,"
				oleh				Han Kang			","
Soft Cover, Juli 2025 ",Rp. 79.000				,Rp. 63.200				
50, The Ghost Cat: Kisah Kucing Gentayangan ,"
				oleh				Alex Howard			","
Soft Cover, Juli 2025 ",Rp. 105.000				,Rp. 84.000				
51, Frankie: Kucing Abu-Abu Bertelinga Satu Setengah ,"
				oleh				Jochen Gutsch, Maxim Leo			","
Soft Cover, Juli 2025 ",Rp. 105.000				,Rp. 84.000				
52, MeÌmoires de la ForeÌt: ,"
				oleh				Mickaël Brun-Arnaud			","
Soft Cover, Juli 2025 ",Rp. 88.000				,Rp. 70.400				
53, Tukar Jiwa ,"
				oleh				Ilza Zainatul			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 89.100				
54, Supernova Paket 3 KPBJ + Exclusive Box ,"
				oleh				Dewi Dee Lestari			","
Soft Cover, Juni 2025 ",Rp. 99.000				,Rp. 79.200				
55, Supernova Paket 2 KPBJ + Exclusive Box & Tumbler ,"
				oleh				Dewi Dee Lestari			","
Soft Cover, Juni 2025 ",Rp. 210.000				,Rp. 168.000				
56, Supernova Paket 1 KPBJ + Exclusive Box & Tshirt (Ukuran M & XL) ,"
				oleh				Dewi Dee Lestari			","
Soft Cover, Juni 2025 ",Rp. 236.000				,Rp. 188.800				
57, Hana - Tara - Hata TTD ,"
				oleh				Tere Liye			","
Soft Cover, Juni 2025 ",,
58, Hana - Tara - Hata ,"
				oleh				Tere Liye			","
Soft Cover, Juni 2025 ",Rp. 109.000				,Rp. 87.200				
59, EVERYTHING BECOMES F - THE PERFECT INSIDER ,"
				oleh				Mori Hiroshi			","
Soft Cover, Juni 2025 ",Rp. 151.000				,Rp. 120.800				
60, PAKET SEDAP - SO DAPUR AJAIB+TTD+PRINTED EDGE+BOX+KEYCHAIN BE-177 ,"
				oleh				n/a			","
Soft Cover, Juni 2025 ",,
61," Yujin, Yujin ","
				oleh				Lee Geum-yi			","
Soft Cover, Juni 2025 ",Rp. 84.000				,Rp. 67.200				
62, WHITE WEDDING ,"
				oleh				Ziggy Zezsyazeoviennazabrizkie			","
Soft Cover, Juni 2025 ",Rp. 99.000				,Rp. 79.200				
63, ULYSSES MOORE: KEBUN ABU ,"
				oleh				PIERDOMENICO BACCALARIO			","
Soft Cover, Juni 2025 ",Rp. 205.000				,Rp. 153.750				
64, Katri ,"
				oleh				Adeste Adipriyanti			","
Soft Cover, Mei 2025 ",Rp. 100.000				,Rp. 80.000				
65," Ayah, Bolehkah Aku Membenci Mu? ","
				oleh				SAFI SAHRI, BERBAGI.RASA_			","
Soft Cover, Mei 2025 ",Rp. 68.000				,Rp. 54.400				
66, K : A Man Of Letters ,"
				oleh				Sakurajimarai			","
Soft Cover, Mei 2025 ",Rp. 99.000				,Rp. 84.150				
67, Lost then I Learned ,"
				oleh				Aqiela			","
Soft Cover, Mei 2025 ",Rp. 99.000				,Rp. 84.150				
68, Hall of Friends: Monolog Rifan ,"
				oleh				NADIA RISTIVANI			","
Soft Cover, Mei 2025 ",Rp. 99.000				,Rp. 84.150				
69, Kelana : Ketika Sendiri Juga Bagian Dari Menata Diri ,"
				oleh				WANGSALONA			","
Soft Cover, Mei 2025 ",Rp. 69.000				,Rp. 58.650				
70, Kita Adalah Rangkaian Kisah Yang Padam Oleh Pisah ,"
				oleh				Megakata @bi.ru___			","
Soft Cover, Mei 2025 ",Rp. 79.000				,Rp. 67.150				
71, PAKET MANIS - SO DAPUR AJAIB+TTD+PRINTED EDGE+BOX ,"
				oleh				, n/a			","
Soft Cover, Mei 2025 ",,
72," Sialnya, Kita Bukan Anak Kecil Lagi ","
				oleh				Izzasapta			","
Soft Cover, Mei 2025 ",Rp. 75.000				,Rp. 63.750				
73, SOTIRAS ,"
				oleh				LELY LAINISY			","
Soft Cover, Mei 2025 ",Rp. 99.000				,Rp. 79.200				
74, THE AGE OF INNOCENCE (REPUBLISH 2025) ,"
				oleh				Edith Wharton			","
Soft Cover, Mei 2025 ",Rp. 109.000				,Rp. 87.200				
75, Bahasa Pohon-pohon Tumbang ,"
				oleh				M Aan Mansyur			","
Soft Cover, April 2025 ",Rp. 109.000				,Rp. 87.200				
76, Surat Dari Pram ,"
				oleh				Gigrey			","
Soft Cover, April 2025 ",Rp. 99.000				,Rp. 84.150				
77, Jane's Magical Salon ,"
				oleh				Seunghee Park			","
Soft Cover, April 2025 ",Rp. 105.000				,Rp. 84.000				
78, Notebook About Her ,"
				oleh				THYFAA_hn			","
Soft Cover, April 2025 ",Rp. 85.000				,Rp. 72.250				
79, Komplotan Tidak Takut Hantu ,"
				oleh				Novianto			","
Soft Cover, April 2025 ",Rp. 79.000				,Rp. 67.150				
80, Lost Him To Meet You ,"
				oleh				IRA ALWI			","
Soft Cover, April 2025 ",Rp. 99.000				,Rp. 84.150				
81, Shall We Dance ,"
				oleh				Cecillia Wang			","
Soft Cover, April 2025 ",Rp. 115.000				,Rp. 97.750				
82, Kembali Ke Batavia ,"
				oleh				Gigrey			","
Soft Cover, April 2025 ",Rp. 109.000				,Rp. 92.650				
83, Ratu Botak ,"
				oleh				Philip Bae			","
Soft Cover, April 2025 ",Rp. 85.000				,Rp. 72.250				
84, Secrets Of Cerulean Sky ,"
				oleh				ANNELIE			","
Soft Cover, April 2025 ",Rp. 99.000				,Rp. 84.150				
85, Youth Of Hiraeth 1999 ,"
				oleh				CASTLEIZE			","
Soft Cover, April 2025 ",Rp. 99.000				,Rp. 84.150				
86, Segala Kekasih Tengah Malam ,"
				oleh				Mieko Kawakami			","
Soft Cover, Maret 2025 ",Rp. 99.000				,Rp. 79.200				
87, Tengah-Tengah ,"
				oleh				VALERIE PATKAR			","
Soft Cover, Maret 2025 ",Rp. 135.000				,Rp. 108.000				
88, Tengah-Tengah ,"
				oleh				VALERIE PATKAR			","
Soft Cover, Maret 2025 ",Rp. 135.000				,Rp. 108.000				
89, KOKOKAN MENCARI ARUMBAWANGI (2025) ,"
				oleh				Cyntha Hariadi			","
Soft Cover, Maret 2025 ",Rp. 95.200				,Rp. 76.160				
90, Rumah Kucing ,"
				oleh				Yen Chih-Hao			","
Soft Cover, Maret 2025 ",Rp. 170.000				,Rp. 136.000				
91, Tuan Musim Hujan ,"
				oleh				KARIMATUL J.			","
Soft Cover, Maret 2025 ",Rp. 109.000				,Rp. 92.650				
92, FIX YOU ,"
				oleh				RIA PASCUCCI			","
Soft Cover, Maret 2025 ",Rp. 99.000				,Rp. 79.200				
93, Anonymous Crush 2 ,"
				oleh				HANIIFIAH			","
Soft Cover, Maret 2025 ",Rp. 99.000				,Rp. 84.150				
94," DIA, AYAHKU ? ","
				oleh				AZILA KHAIRUNNISA			","
Soft Cover, Maret 2025 ",,
95," HI, SERANA ADREENA ","
				oleh				GISELA OREALINE			","
Soft Cover, Maret 2025 ",Rp. 99.000				,Rp. 84.150				
96, Tea Journey ,"
				oleh				WAHYUNI ALBIY			","
Soft Cover, Maret 2025 ",Rp. 99.000				,Rp. 84.150				
97, Aku Jadi Tahu ,"
				oleh				@quranreview, Retno Hening			","
Soft Cover, Maret 2025 ",Rp. 88.000				,Rp. 74.800				
98, The Power Of Love Letter ,"
				oleh				Sissy			","
Soft Cover, Maret 2025 ",Rp. 72.000				,Rp. 61.200				
99, MALIOBORO AT MIDNIGHT NEW VERSION (SOFTCOVER) ,"
				oleh				SKYSPHIRE			","
Soft Cover, Maret 2025 ",Rp. 110.000				,Rp. 93.500				
100, Timun Jelita Volume 2 ,"
				oleh				Raditya Dika			","
Soft Cover, Maret 2025 ",Rp. 76.000				,Rp. 64.600				
101, Rumah Kecil Alie ,"
				oleh				REGITA, LENN LIU			","
Soft Cover, Maret 2025 ",Rp. 99.000				,Rp. 84.150				
102, Merengkuh Pilu ,"
				oleh				DYSSA CHRYSILLA CATHLIN			","
Soft Cover, Maret 2025 ",Rp. 79.000				,Rp. 67.150				
103, Denis Neira ,"
				oleh				ANGGUN AULIA K			","
Soft Cover, Maret 2025 ",Rp. 99.000				,Rp. 89.100				
104, Malioboro At Midnight New Version ,"
				oleh				SKYSPHIRE			","
Hard Cover, Maret 2025 ",Rp. 125.000				,Rp. 106.250				
105, Anak-anak Dune ,"
				oleh				Frank Herbert			","
Soft Cover, Februari 2025 ",Rp. 165.000				,Rp. 132.000				
106, Jakarta Sebelum Pagi (New Edition) ,"
				oleh				Ziggy Zezsyazeoviennazabrizkie			","
Soft Cover, Februari 2025 ",Rp. 95.000				,Rp. 76.000				
107," Good Girl, Bad Blood (Topeng Anak Baik-Baik) ","
				oleh				Holly Jackson			","
Soft Cover, Februari 2025 ",Rp. 139.000				,Rp. 111.200				
108, PO JOBIN [Paket 4] ,"
				oleh				Pidi Baiq			","
Soft Cover, Februari 2025 ",Rp. 274.000				,Rp. 219.200				
109, PO JOBIN [Paket 3] ,"
				oleh				Pidi Baiq			","
Soft Cover, Februari 2025 ",Rp. 144.000				,Rp. 115.200				
110, PO JOBIN [Paket 2] ,"
				oleh				Pidi Baiq			","
Soft Cover, Februari 2025 ",Rp. 104.000				,Rp. 83.200				
111, PO JOBIN [Paket 1] ,"
				oleh				Pidi Baiq			","
Soft Cover, Februari 2025 ",Rp. 98.000				,Rp. 78.400				
112, BOXSET SHOGUN ,"
				oleh				James Clavell			","
Soft Cover, Februari 2025 ",,
113, SHOGUN Jilid 3 ,"
				oleh				James Clavell			","
Soft Cover, Februari 2025 ",Rp. 160.000				,Rp. 128.000				
114, SHOGUN Jilid 2 ,"
				oleh				James Clavell			","
Soft Cover, Februari 2025 ",Rp. 160.000				,Rp. 128.000				
115, SHOGUN Jilid 1 ,"
				oleh				James Clavell			","
Soft Cover, Februari 2025 ",Rp. 160.000				,Rp. 128.000				
116, Bonjour Paris ! La Fleur De L Amour ,"
				oleh				ELYER4A			","
Soft Cover, Februari 2025 ",Rp. 109.000				,Rp. 92.650				
117, Transmigrasi Sang Ketua ,"
				oleh				WIWI RAMADANI			","
Soft Cover, Februari 2025 ",Rp. 99.000				,Rp. 79.200				
118, SURAU ,"
				oleh				MWV MYSTIC			","
Soft Cover, Februari 2025 ",Rp. 115.000				,Rp. 97.750				
119, ELVANO ,"
				oleh				Shena			","
Soft Cover, Februari 2025 ",Rp. 105.000				,Rp. 89.250				
